MC,mean_A_%,mean_B_%,median_A_%,median_B_%,delta_arcsin,n_A,n_B,p,p_adj,signed_logFDR,grpA,grpB,test,contrast
MC6,10.289224743953332,1.3661551541557615,10.751782630908913,1.0773943085087434,0.1977605775530789,14,10,0.00031690868198651465,0.0015845434099325732,2.800095858439013,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC7,22.22343225672805,8.040663474492074,17.682834494821144,7.541297801477187,0.19100875494019248,14,10,0.009169925647053616,0.027155638334293034,1.5661399840036405,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC8,3.422852320618182,2.592730811901048,2.554772864366723,1.4245068485906183,0.029133351326458556,14,10,0.27869787974070936,0.3096643108230104,0.509108844710279,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC9,13.682031394791098,18.923547152531846,11.083963808584937,18.37798345986517,-0.08972406408444894,14,10,0.08410605776282679,0.10513257220353348,-0.9782627098834237,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC10,19.15041708033649,31.643892528256334,21.806785977890485,30.917080031109194,-0.14850817668466926,14,10,0.057039874249055496,0.09302488649669631,-1.0314008512057946,HIV_W0,PrEP,unpaired,HIV_W0_vs_PrEP
MC1,18.2881409087475,30.552190503439192,15.627971890780747,27.52747252747253,-0.14885416632153242,10,13,0.037747893513153136,0.10150961102772596,-0.9934928363842597,PrEP,HC,unpaired,PrEP_vs_HC
MC2,16.398038687033786,24.453909475853404,17.52285388482023,24.895977808599167,-0.10425846773670988,10,13,0.027692406657233378,0.10150961102772596,-0.9934928363842597,PrEP,HC,unpaired,PrEP_vs_HC
MC3,1.520429775057927,2.7063343667324244,1.0961050422560414,1.994134897360704,-0.04220398843395562,10,13,0.05075480551386298,0.10150961102772596,-0.9934928363842597,PrEP,HC,unpaired,PrEP_vs_HC
MC4,0.39524355195152755,0.6145439459964623,0.23510733761303235,0.5994550408719346,-0.017760795131604994,10,13,0.14500375383013409,0.24167292305022348,-0.6167720050685928,PrEP,HC,unpaired,PrEP_vs_HC
MC5,0.8311579558721907,0.5635787239162873,0.6684741959611069,0.469208211143695,0.015336493273414506,10,13,0.22653276315984072,0.32361823308548676,0.4899670176365869,PrEP,HC,unpaired,PrEP_vs_HC
MC6,1.3661551541557615,0.7062209031885133,1.0773943085087434,0.633147113594041,0.030523029114820868,10,13,0.05075480551386298,0.10150961102772596,0.9934928363842597,PrEP,HC,unpaired,PrEP_vs_HC
MC7,8.040663474492074,6.601472610805668,7.541297801477187,3.684598378776714,0.03825703592328353,10,13,0.3061723762831656,0.38271547035395703,0.4171239821090221,PrEP,HC,unpaired,PrEP_vs_HC
MC8,2.592730811901048,2.268521428715519,1.4245068485906183,1.246458923512748,0.009713892169928379,10,13,0.733031673648372,0.733031673648372,0.1348772594741247,PrEP,HC,unpaired,PrEP_vs_HC
MC9,18.923547152531846,18.879745389431783,18.37798345986517,21.580381471389646,0.008619989367318115,10,13,0.6868651803414656,0.733031673648372,0.1348772594741247,PrEP,HC,unpaired,PrEP_vs_HC
MC10,31.643892528256334,12.653482651920744,30.917080031109194,12.690707350901526,0.23165989105711116,10,13,0.0011302886391506167,0.011302886391506166,1.9468106375933205,PrEP,HC,unpaired,PrEP_vs_HC
MC1,20.97354609803452,9.592338450679692,16.888066387148417,7.127881860190985,0.15977681919235975,14,14,0.0006103515625,0.006103515625,2.2144199392957367,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC2,12.116640442714017,8.107294746447439,13.21410430862115,5.554136383080684,0.07124398688613787,14,14,0.0166015625,0.04150390625,1.3819110265895005,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC3,1.1525071590501785,0.8198576166518541,0.9424191411230098,0.5440052603257622,0.0156142347282891,14,14,0.13525390625,0.19134521484375,0.7181823941290015,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC4,0.4474574663224425,0.3521414034982217,0.36552178268744095,0.17028443638832846,0.00857417575833673,14,14,0.153076171875,0.19134521484375,0.7181823941290015,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC5,2.3720679155777504,12.360409986295645,0.9467717507379843,7.661974347798265,-0.1982781061137205,14,14,0.0067138671875,0.022379557291666668,-1.6501485088571741,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC6,5.245697852954774,10.289224743953332,4.998350301975211,10.751782630908913,-0.0961840975624379,14,14,0.0030517578125,0.0152587890625,-1.8164799306236992,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC7,12.910612314493125,22.22343225672805,11.760843991200431,17.682834494821144,-0.11250875130534477,14,14,0.0245361328125,0.049072265625,-1.3091638905472855,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC8,3.4847970480757153,3.422852320618181,2.6168665244653697,2.554772864366723,0.005985471895919553,14,14,0.625732421875,0.625732421875,0.20361134178353033,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC9,18.54496375602802,13.682031394791096,18.787266679550747,11.083963808584937,0.07645454234441151,14,14,0.13525390625,0.19134521484375,0.7181823941290015,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC10,22.751709946749454,19.150417080336485,26.092507082776834,21.806785977890485,0.04913233759169505,14,14,0.2412109375,0.2680121527777778,0.571845512819471,HIV_W48,HIV_W0,paired,HIV_W48_vs_HIV_W0
MC1,20.97354609803452,30.552190503439192,16.888066387148417,27.52747252747253,-0.11842708810393932,14,13,0.030818058229215455,0.04402579747030779,-1.3562927686073087,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC2,12.116640442714017,24.453909475853404,13.21410430862115,24.895977808599167,-0.16697898718153986,14,13,0.001054692497202912,0.00527346248601456,-2.2779041390959467,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC3,1.1525071590501785,2.7063343667324244,0.9424191411230098,1.994134897360704,-0.06069187330260904,14,13,0.016303709327966896,0.027172848879944828,-1.5658648265074389,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC4,0.4474574663224425,0.6145439459964623,0.36552178268744095,0.5994550408719346,-0.015511514774990257,14,13,0.12637008658573637,0.14041120731748485,-0.8525982263808023,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC5,2.3720679155777495,0.5635787239162873,0.9467717507379843,0.469208211143695,0.05259175139171911,14,13,0.00707694197840436,0.02169190183412089,1.6637023696153432,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC6,5.245697852954772,0.7062209031885133,4.998350301975211,0.633147113594041,0.13209950910546187,14,13,0.000623697294409185,0.00527346248601456,2.2779041390959467,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC7,12.910612314493124,6.601472610805668,11.760843991200431,3.684598378776714,0.11675703955813135,14,13,0.010845950917060445,0.02169190183412089,1.6637023696153432,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC8,3.4847970480757158,2.268521428715519,2.6168665244653697,1.246458923512748,0.04483271539230646,14,13,0.12637008658573637,0.14041120731748485,0.8525982263808023,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC9,18.54496375602802,18.879745389431783,18.787266679550747,21.580381471389646,-0.004649532372719256,14,13,0.7158981921466268,0.7158981921466268,-0.14514873430200878,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC10,22.75170994674945,12.653482651920744,26.092507082776834,12.690707350901526,0.13228405196413684,14,13,0.009427503987756908,0.02169190183412089,1.6637023696153432,HIV_W48,HC,unpaired,HIV_W48_vs_HC
MC1,20.97354609803452,18.2881409087475,16.888066387148417,15.627971890780747,0.030427078217593106,14,10,0.8376197722836831,0.9817971770904091,0.007978220938350138,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC2,12.116640442714017,16.398038687033786,13.21410430862115,17.52285388482023,-0.06272051944482998,14,10,0.15140878254142853,0.2813595318858227,-0.5507383672514395,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC3,1.1525071590501785,1.520429775057927,0.9424191411230098,1.0961050422560414,-0.018487884868653423,14,10,0.4642143127710314,0.6631633039586163,-0.1783795134125554,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC4,0.4474574663224425,0.39524355195152755,0.36552178268744095,0.23510733761303235,0.002249280356614737,14,10,0.8836174593813683,0.9817971770904091,0.007978220938350138,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC5,2.3720679155777495,0.8311579558721907,0.9467717507379843,0.6684741959611069,0.0372552581183046,14,10,0.16881571913149362,0.2813595318858227,0.5507383672514395,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC6,5.245697852954772,1.3661551541557615,4.998350301975211,1.0773943085087434,0.10157647999064101,14,10,0.010862255333717213,0.10862255333717213,0.9640799926756781,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC7,12.910612314493124,8.040663474492074,11.760843991200431,7.541297801477187,0.07850000363484783,14,10,0.03764795382760189,0.18823976913800944,0.7252886184613916,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC8,3.4847970480757158,2.592730811901048,2.6168665244653697,1.4245068485906183,0.03511882322237808,14,10,0.0951591787478991,0.2813595318858227,0.5507383672514395,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC9,18.54496375602802,18.923547152531846,18.787266679550747,18.37798345986517,-0.013269521740037371,14,10,1.0,1.0,0.0,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
MC10,22.75170994674945,31.643892528256334,26.092507082776834,30.917080031109194,-0.09937583909297432,14,10,0.16881571913149362,0.2813595318858227,-0.5507383672514395,HIV_W48,PrEP,unpaired,HIV_W48_vs_PrEP
